code,description,make,model,category,serial,quantity,cost,purchased_on,warranty_expires,location,owning_project
,FIRE EXTINGUISHER,KIDDE,5 LB,,,1,,,,,
,100' Heavy Duty Extension Cords,,,,,3,,,,,
,"4-1/2"" Angel Grinder",Dewalt,,Grinders,21286,1,,,,,
,Air Compressor 2.6 Gallon,Porter Cable,,Generators & Power,2471289383,1,,,,,
,"7-1/2"" warm drive Circular saw",Skillsaw,,Saws,31003157,1,,,,,
,Drill Driver,Milwaukee,,Drills & Drivers,,1,,,,,
,Drill Driver,Dewalt,,Drills & Drivers,,1,,,,,
,Hammer Drill,Dewalt,,Drills & Drivers,8018,1,,,,,
,"7-1/2""Angel Grinder",Bosch,,Grinders,,1,,,,,
,"7-1/2"" Warm Drive Circle Saw",Dewalt,,Saws,,1,,,,,
,SDS Max Drill,Milwaukee,,Drills & Drivers,,1,,,,,
,Hammer Drill,Dewalt,,Drills & Drivers,,1,,,,,
,SDS Max Drill,Bosch,,Drills & Drivers,,1,,,,,
,SDS Plus Drill,Metabo,,Drills & Drivers,,1,,,,,
,Water Pump,Koshin,,,30075501,1,,,,,
,Concrete vibrator Nozzle,Wacker Neuson,,Compaction,,1,,,,,
,pick,,,,,1,,,,,
,Shovel,,,Hand Tools,,4,,,,,
,Bull Float,,,,,2,,,,,
,Fresno,,,,,1,,,,,
,Bull float Handles,,,,,6,,,,,
,Rebar Bender,,,,,1,,,,,
,Metal Gasoline Can With Flex Funnel Nozzle Red,Eagle,,,,1,,,,,
,Level with Tripod,Topcon,,Survey & Layout,,1,,,,,
,"Smart Level 4""",,,Survey & Layout,,1,,,,,
,BACK PACK VIBRATOR,Wacker Neuson,BV50A-H,Compaction,24629586,1,,,,,
,Flexible Shaft 7',Wacker Neuson,SM-2S,,,1,,,,,
,"1-3/8"" Hybrid vibrator head",Wacker Neuson,H35HA,Compaction,,1,,,,,
,Skill Saw,Bosch,CSW41,Saws,127000250,1,,,,,
,Hammer Drill,Bosch,11264EVS,Drills & Drivers,,1,,,,,
,Hammer Drill,Bosch,11264EVS,Drills & Drivers,42003825,1,,,,,
,Quicky Saw,STHIL,TS-420,Saws,198226016,1,,,,,
,Hammer Drill,Bosch,11264EVS,Drills & Drivers,,1,,,,,
,CORD LESS RECIPROCATING SAW COMBO,BOSCH,GSA18V-110,Saws,229003993,1,,,,,
,"7 1/4"" WORM DRIVE CIRCLE SAW",BOSCH,CSW41,Saws,329000182,1,,,,,
,ELECTRIC EXTENSION CORD 100FT,,,,,1,,,,,
,"ELECTRIC 1/2"" DRILL",DEWALL,DW511,Drills & Drivers,DJ76VR0,1,,,,,
,48 IN DIGITAL LEVEL,BOSCH,G1M120,Survey & Layout,,1,,,,,
,"CORD LESS 4- 1/2"" ANGEL GRAIDER COMBO",BOSCH,GWS18V-10PB14,,3601JJ4112,1,,,,,
,ELECTRIC HAMMER DRILL EXTREME BULL DOG,BOSCH,11255VSR,Drills & Drivers,331009028,1,,,,,
,QUIKI SAW,STIHL,TS420,Saws,,1,,,,,
,ELECTRIC HAMMER DRILL 13A,BOSCH,11264EVS,Drills & Drivers,323002627,1,,,,,
,PERFORMANCE COMBO KIT (DRILL/IMPACT W/ BATTERY),BOSCH,GXL18V-227B25,Drills & Drivers,D-222001326,1,,,,,
