code,description,make,model,category,serial,quantity,cost,purchased_on,warranty_expires,location,owning_project
,Quicky Saw,STHIL,TS-420,Power Tools,,1,,,,,
,GENERATOR,HONDA,EB6500X,,EBLC-1520520,1,,,,,
,GENERATOR,HONDA,EB6500X,,EBLC-1514786,1,,,,,
,PLATE COMPACTOR,WACKER NEWSON,WP1550AW,,11714586,1,,,,,
,"20"" Walk Behind Concrete Saw",HUSQVARNA,FS400LV,Power Tools,20220500089,1,,,,,
,Leaf Blower,Stihl,BG86,,,1,,,,,
,FIRE EXTINGUISHER,KIDDE,3 LB,,,1,,,,,
,FIRE EXTINGUISHER,KIDDE,5 LB,,,1,,,,,
,100' Heavy Duty Extension Cords,,,,,3,,,,,
,"4-1/2"" Angel Grinder",Dewalt,,Power Tools,21286,1,,,,,
,Air Compressor 2.6 Gallon,Porter Cable,,,2471289383,1,,,,,
,"7-1/2"" warm drive Circular saw",Skillsaw,,Power Tools,31003157,1,,,,,
,Drill Driver,Milwaukee,,Power Tools,,1,,,,,
,Drill Driver,Dewalt,,Power Tools,,1,,,,,
,Hammer Drill,Dewalt,,Power Tools,8018,1,,,,,
,"7-1/2""Angel Grinder",Bosch,,Power Tools,,1,,,,,
,"7-1/2"" Warm Drive Circle Saw",Dewalt,,Power Tools,,1,,,,,
,SDS Max Drill,Milwaukee,,Power Tools,,1,,,,,
,Hammer Drill,Dewalt,,Power Tools,,1,,,,,
,SDS Max Drill,Bosch,,Power Tools,,1,,,,,
,SDS Plus Drill,Metabo,,Power Tools,,1,,,,,
,Water Pump,Koshin,,,30075501,1,,,,,
,Concrete vibrator Nozzle,Wacker Neuson,,,,1,,,,,
,pick,,,,,1,,,,,
,Shovel,,,,,4,,,,,
,Bull Float,,,,,2,,,,,
,Fresno,,,,,1,,,,,
,Bull float Handles,,,,,6,,,,,
,Rebar Bender,,,,,1,,,,,
,Metal Gasoline Can With Flex Funnel Nozzle Red,Eagle,,,,1,,,,,
,Level with Tripod,Topcon,,,,1,,,,,
,"Smart Level 4""",,,,,1,,,,,
,BACK PACK VIBRATOR,Wacker Neuson,BV50A-H,,24629586,1,,,,,
,Flexible Shaft 7',Wacker Neuson,SM-2S,,,1,,,,,
,"1-3/8"" Hybrid vibrator head",Wacker Neuson,H35HA,,,1,,,,,
,Skill Saw,Bosch,CSW41,Power Tools,127000250,1,,,,,
,Hammer Drill,Bosch,11264EVS,Power Tools,,1,,,,,
,Hammer Drill,Bosch,11264EVS,Power Tools,42003825,1,,,,,
,Quicky Saw,STHIL,TS-420,Power Tools,198226016,1,,,,,
,Hammer Drill,Bosch,11264EVS,Power Tools,,1,,,,,
,CORD LESS RECIPROCATING SAW COMBO,BOSCH,GSA18V-110,Power Tools,229003993,1,,,,,
,"7 1/4"" WORM DRIVE CIRCLE SAW",BOSCH,CSW41,Power Tools,329000182,1,,,,,
,ELECTRIC EXTENSION CORD 100FT,,,,,1,,,,,
,"ELECTRIC 1/2"" DRILL",DEWALL,DW511,Power Tools,DJ76VR0,1,,,,,
,48 IN DIGITAL LEVEL,BOSCH,G1M120,,,1,,,,,
,"CORD LESS 4- 1/2"" ANGEL GRAIDER COMBO",BOSCH,GWS18V-10PB14,,3601JJ4112,1,,,,,
,ELECTRIC HAMMER DRILL EXTREME BULL DOG,BOSCH,11255VSR,Power Tools,331009028,1,,,,,
,QUIKI SAW,STIHL,TS420,Power Tools,,1,,,,,
,ELECTRIC HAMMER DRILL 13A,BOSCH,11264EVS,Power Tools,323002627,1,,,,,
,PERFORMANCE COMBO KIT (DRILL/IMPACT W/ BATTERY),BOSCH,GXL18V-227B25,Power Tools,D-222001326,1,,,,,
,"3/4"" IMPACT WRENCH",BOSCH,GDS18V-770CN,Power Tools,130000302,1,,,,,
,CHARGER LITHIUM -ION STARTER KIT,BOSCH,8 Ah.,,,1,,,,,
,LEAF BLOWER,STIHL,BG56C,,539161093,1,,,,,
,"CORD LESS 1/2"" IMPACT WRENCH",BOSCH,GDS18V-740CB14,Power Tools,131000703,1,,,,,
,High Power Battery (8 Ah),BOSCH,GDA18V80,,231210341,1,,,,,
,High Power Battery (8 Ah),BOSCH,GDA18V80,,231210580,1,,,,,
,Charger 4 A/ 18 V,BOSCH,GAL18V-40,,,1,,,,,
,Charger 4 A/ 18 V,BOSCH,GAL18V-40,,,1,,,,,
,Hammer Drill,BOSCH,11264EVS,Power Tools,427000426,1,,,,,
,Reciprocating Saw,BOSCH,RS325,Power Tools,226001064,1,,,,,
,"4"" Smart Level",,GIM 120,,428000067,1,,,,,
,50' Heavy Duty Extension cords,,,,,3,,,,,
,"7-1/2"" Warm Drive Circular saw",Skilsaw,,Power Tools,,1,,,,,
,"Drill Driver 1/4""",Bosch,,Power Tools,,1,,,,,
,"Hammer Drill 1/2""",Bosch,,Power Tools,,1,,,,,
,Power Generator,Honda,,,,1,,,,,
,Quicky Saw,Stihl,,Power Tools,,1,,,,,
,Pick,,,,,1,,,,,
,Shovel,,,,,4,,,,,
,Concrete Back Pack Vibrator,Wacker Newson,,,,1,,,,,
,Leaf Blower,Stihl,BG86,,,1,,,,,
,Quicky Saw,Stihl,TS-420,Power Tools,,1,,,,,
,Comelongs concrete tools,,,,,4,,,,,
,Bull Float 6',,,,,1,,,,,
,Fresno 4' concrete tools,,,,,1,,,,,
,Geangle Concrete tools,,,,,6,,,,,
,Metal Gasoline Can with Flex funnel Nozzle Red,Eagle,,,,3,,,,,
,Battery Charger 18V,Bosch,GAL18V-40,,,1,,,,,
,Floodlight,Bosch,GLI18V-1900N,,,1,,,,,
,Hight Power Battery 8Ah,Bosch,GBA18V80,,,1,,,,,
,"chisel 18""",Bosch,HS1912,,,1,,,,,
,"Chisel 16""",Bosch,HS1936,,,1,,,,,
,"concrete diamond blade 14""",Bosch,DB1441E,,,1,,,,,
,"1/2"" High Torque",Milwaukee,2767-20,,,1,,,,,
,"1/2"" High Torque",Milwaukee,2767-20,,,1,,,,,
,"1/4"" Hex Impact Driver",Milwaukee,2953-20,Power Tools,M67AF231403532,1,,,,,
,"1/4"" Hex Impact Driver",Milwaukee,2953-20,Power Tools,M67AF231627506,1,,,,,
,"1/4"" Hex Impact Driver",Bosch,GDX18V-1860C,Power Tools,227000888,1,,,,,
,Concrete Vibrator,Wacker Newson,510000600,,11609405,1,,,,,
,Concrete Vibrator,Wacker Newson,510000600,,11599923,1,,,,,
,Sawzall Reciprocating Saw,Milwaukee,2821-22,Power Tools,L37AD231702655,1,,,,,
,SDS Max Hammer Drill,Bosch,11264EVS,Power Tools,,1,,,,,
,Chopsaw,Sthil,,Power Tools,,1,,,,,
,Extension Cord 100',Yellow Jacket,,,,4,,,,,
,Generator,Honda,GP5600a,,,1,,,,,
,"7-1/2"" warm drive Circular saw",Skillsaw,,Power Tools,,2,,,,,
,Headlamps for Employees,Cosoos,,,,6,,,,,
,Harnes M-L,Guardian,6,,,6,,,,,
,"Magnetic Level 72""",,,,,1,,,,,
,"Magnetic Level 48""",,,,,1,,,,,
,"Wrench pipe 36""",,,,,2,,,,,
,Blue Straps 10',,,,,3,,,,,
,Lever Hoist 1-1/2Ton,,,,,2,,,,,
,"48"" Shovel Square",,,,,2,,,,,
,Gas blower,Stihl,BG50,,,1,,,,,
,"Pry Bar 60""",Kraft,,,,2,,,,,
,"16""x3-1/4"" Magnesium Float",Kraft,,,,2,,,,,
,Gas can 5 gal,Eagle,,,,2,,,,,
,Gas can 2 gal,Eagle,,,,2,,,,,
,Form Release Red Can,Chapin,,,,1,,,,,
,Form Release Red Can,Chapin,,,,1,,,,,
,Hammer Drill,Bosch,RH450M,Power Tools,225001099,1,,,,,
,QUIKIE SAW,STIHL,TS-420,Power Tools,,1,,,,,
,QUIKIE SAW,STIHL,TS-420,Power Tools,,1,,,,,
,GENERATOR,HONDA,EB6500X,,EBCL-1513008,1,,,,,
,GENERATOR,WACKER NEWSON,GP6600,,24478932,1,,,,,
,PLATE COMPACTOR,BOOMAG,MVP18/45,,101630112483,1,,,,,
,BACK PACK VIBRATOR,Wacker Newson,BV50A-h,,24610819,1,,,,,
,"4-1/2"" Angle Grinder",corded,,Power Tools,,1,,,,,
,Air Compressor,Porter Cable,,,229000664,1,,,,,
,"7-1/2"" Warm Drive Circular saw",Skillsaw,,Power Tools,324000316,1,,,,,
,Drill Driver,Milwaukee,,Power Tools,J76A213500992,1,,,,,
,Drill Driver,Dewalt,,Power Tools,,1,,,,,
,"7"" Angle Grinder",Bosch,,Power Tools,,1,,,,,
,"7-1/2"" Warm Drive Circular saw",Dewalt,,Power Tools,,1,,,,,
